"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"1",-0.287172597921044,0.430015566465202,0.313529326204082,0.0330946466122296,"C0101-P001NS01","Cow 01","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"2",-0.247364326272909,-0.111244437711094,-0.321863593280401,-0.0609614924804195,"C0102-P001NS01","Cow 01","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"3",-0.23796456169665,-0.0172068025733242,-0.21851291089368,0.0726614567182846,"C0102-S001NS01","Cow 01","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"4",-0.181350330726765,0.111951238919726,-0.0253912987888828,0.154787501653615,"C0102-W001NS01","Cow 01","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"5",-0.147270141134233,-0.120195584489635,-0.0486215464788927,0.0427392978405188,"C0103-P001NS01","Cow 01","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"6",-0.171128272136254,-0.0249715989066822,-0.044050984625838,0.0220128735656,"C0103-S001NS01","Cow 01","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"7",-0.0683198090265137,0.00530336306530882,-0.0108447458877112,-0.0959202257022181,"C0103-V102NS01","Cow 01","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow","Cow (N=1186)"
"8",-0.119650441858623,0.0850643579612403,0.0997459723604836,-0.161315628041921,"C0103-V401NS01","Cow 01","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"9",-0.21656029803281,-0.0448681807309864,-0.130416472394318,-0.110319073977963,"C0103-W001NS01","Cow 01","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"10",-0.228890922910109,0.345867289396838,0.300545275876899,-0.126080950677719,"C0104-V102NS01","Cow 01","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow","Cow (N=1186)"
"11",-0.30358568268338,0.258570355598507,0.155944955726175,-0.0727880382741374,"C0104-V401NS01","Cow 01","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"12",-0.157791151168554,0.0501783391475026,0.000935932538081776,0.016648281817962,"C0104-W001NS01","Cow 01","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"13",-0.152090261569083,-0.365162003901073,0.32732265538351,-0.0268500694416261,"C0105-P001NS01","Cow 01","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"14",-0.281199098333097,0.231233518916078,0.109731373354728,-0.0162458421204939,"C0105-W001NS01","Cow 01","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"15",-0.188831646585956,0.0730450099340345,-0.118486043456364,0.156757108302259,"C0106-F001NS01","Cow 01","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
