"","HumanSample","HumanCohort","SiteComparison","MeanBrayCurtis"
"1","D0101-S001NS01","Non-Farmer","Different Site",0.866269141361673
"2","D0101-S001NS01","Non-Farmer","Same Site",0.958835636477545
"3","D0101-V103NS01","Non-Farmer","Different Site",0.878611404214249
"4","D0101-V103NS01","Non-Farmer","Same Site",0.962391642902093
"5","D0101-V202NS01","Non-Farmer","Different Site",0.854956610302747
"6","D0101-V202NS01","Non-Farmer","Same Site",0.969852991013716
"7","D0101-V203NS01","Non-Farmer","Different Site",0.832406194451141
"8","D0101-V203NS01","Non-Farmer","Same Site",0.957603360956139
"9","D0101-V301NS01","Non-Farmer","Different Site",0.902734205225403
"10","D0101-V301NS01","Non-Farmer","Same Site",0.975963922267099
"11","D0101-V302NS01","Non-Farmer","Different Site",0.865650397028114
"12","D0101-V302NS01","Non-Farmer","Same Site",0.957248058967967
"13","D0101-V303NS01","Non-Farmer","Different Site",0.880278040291347
"14","D0101-V303NS01","Non-Farmer","Same Site",0.965344601745658
"15","D0101-V402NS01","Non-Farmer","Different Site",0.84204831819919
"16","D0101-V402NS01","Non-Farmer","Same Site",0.965188261029597
"17","D0102-F001NS01","Non-Farmer","Different Site",0.921334905491334
"18","D0102-F001NS01","Non-Farmer","Same Site",0.947975147257533
"19","D0102-P001NS01","Non-Farmer","Different Site",0.872030063267131
"20","D0102-P001NS01","Non-Farmer","Same Site",0.952346954221475
"21","D0102-S001NS01","Non-Farmer","Different Site",0.884162355522516
"22","D0102-S001NS01","Non-Farmer","Same Site",0.972648739537136
"23","D0102-V103NS01","Non-Farmer","Different Site",0.968424334108831
"24","D0102-V103NS01","Non-Farmer","Same Site",0.970674722545658
"25","D0102-V104NS01","Non-Farmer","Different Site",0.8924684962557
"26","D0102-V104NS01","Non-Farmer","Same Site",0.899194311862674
"27","D0102-V203NS01","Non-Farmer","Different Site",0.905223687647324
"28","D0102-V203NS01","Non-Farmer","Same Site",0.918009474256851
"29","D0102-V302NS01","Non-Farmer","Different Site",0.94146972396683
"30","D0102-V302NS01","Non-Farmer","Same Site",0.952294624549884
"31","D0102-V303NS01","Non-Farmer","Different Site",0.964894864778118
"32","D0102-V303NS01","Non-Farmer","Same Site",0.968008262112906
"33","D0102-V401NS01","Non-Farmer","Different Site",0.980536449810658
"34","D0102-V401NS01","Non-Farmer","Same Site",0.982148101280761
"35","D0102-V402NS01","Non-Farmer","Different Site",0.942883898244972
"36","D0102-V402NS01","Non-Farmer","Same Site",0.94715302066055
"37","D0102-V403NS01","Non-Farmer","Different Site",0.975698029438785
"38","D0102-V403NS01","Non-Farmer","Same Site",0.976766087292208
"39","D0103-F001NS01","Non-Farmer","Different Site",0.930534411117057
"40","D0103-F001NS01","Non-Farmer","Same Site",0.87793162315406
"41","D0103-S001NS01","Non-Farmer","Different Site",0.861494362847622
"42","D0103-S001NS01","Non-Farmer","Same Site",0.815888451999814
"43","D0104-P001NS01","Non-Farmer","Different Site",0.844293108415621
"44","D0104-P001NS01","Non-Farmer","Same Site",0.729707259335778
"45","D0104-S001NS01","Non-Farmer","Different Site",0.908099078577387
"46","D0104-S001NS01","Non-Farmer","Same Site",0.865156753499873
"47","D0104-V103NS01","Non-Farmer","Different Site",0.852507991532411
"48","D0104-V103NS01","Non-Farmer","Same Site",0.741395601173762
"49","D0104-V203NS01","Non-Farmer","Different Site",0.858343135418149
"50","D0104-V203NS01","Non-Farmer","Same Site",0.73653101373334
"51","D0104-V301NS01","Non-Farmer","Different Site",0.9288338684303
"52","D0104-V301NS01","Non-Farmer","Same Site",0.908161750600124
"53","D0104-V302NS01","Non-Farmer","Different Site",0.800740588286262
"54","D0104-V302NS01","Non-Farmer","Same Site",0.718585494253308
"55","D0104-V303NS01","Non-Farmer","Different Site",0.928442843687787
"56","D0104-V303NS01","Non-Farmer","Same Site",0.902789601400553
"57","D0104-V401NS01","Non-Farmer","Different Site",0.891249019660301
"58","D0104-V401NS01","Non-Farmer","Same Site",0.845764413896449
"59","D0104-V402NS01","Non-Farmer","Different Site",0.969332013841785
"60","D0104-V402NS01","Non-Farmer","Same Site",0.969143233294165
"61","D0104-V403NS01","Non-Farmer","Different Site",0.910812741361871
"62","D0104-V403NS01","Non-Farmer","Same Site",0.852228913076946
"63","D0105-S001NS01","Non-Farmer","Different Site",0.888618473715905
"64","D0105-S001NS01","Non-Farmer","Same Site",0.892746449180239
"65","D0105-V102NS01","Non-Farmer","Different Site",0.865017171805283
"66","D0105-V102NS01","Non-Farmer","Same Site",0.853943802450601
"67","D0105-V201NS01","Non-Farmer","Different Site",0.880136500240453
"68","D0105-V201NS01","Non-Farmer","Same Site",0.875232734559483
"69","D0105-V202NS01","Non-Farmer","Different Site",0.934844754580625
"70","D0105-V202NS01","Non-Farmer","Same Site",0.948913837439477
"71","D0105-V302NS01","Non-Farmer","Different Site",0.900829453773479
"72","D0105-V302NS01","Non-Farmer","Same Site",0.905929352662498
"73","D0105-V402NS01","Non-Farmer","Different Site",0.906943050685957
"74","D0105-V402NS01","Non-Farmer","Same Site",0.922497526171984
"75","D0106-S001NS01","Non-Farmer","Different Site",0.931806269523963
"76","D0106-S001NS01","Non-Farmer","Same Site",0.910948916581509
"77","D0106-V103NS01","Non-Farmer","Different Site",0.942250212431633
"78","D0106-V103NS01","Non-Farmer","Same Site",0.923904222446942
"79","D0106-V201NS01","Non-Farmer","Different Site",0.934738050987659
"80","D0106-V201NS01","Non-Farmer","Same Site",0.914921354771271
"81","D0106-V202NS01","Non-Farmer","Different Site",0.944561356039459
"82","D0106-V202NS01","Non-Farmer","Same Site",0.92593498689549
"83","D0106-V203NS01","Non-Farmer","Different Site",0.944549984456369
"84","D0106-V203NS01","Non-Farmer","Same Site",0.926014687656702
"85","D0106-V301NS01","Non-Farmer","Different Site",0.942474493983896
"86","D0106-V301NS01","Non-Farmer","Same Site",0.922313334128892
"87","D0106-V302NS01","Non-Farmer","Different Site",0.944874229545107
"88","D0106-V302NS01","Non-Farmer","Same Site",0.926846043993463
