"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Richness"
"C0101-P001NS01","Cow 01","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",42
"C0102-P001NS01","Cow 01","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow",103
"C0102-S001NS01","Cow 01","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow",70
"C0102-W001NS01","Cow 01","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow",54
"C0103-P001NS01","Cow 01","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",61
"C0103-S001NS01","Cow 01","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow",91
"C0103-V401NS01","Cow 01","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",157
"C0103-W001NS01","Cow 01","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow",170
"C0104-V401NS01","Cow 01","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow",94
"C0104-W001NS01","Cow 01","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow",55
"C0105-P001NS01","Cow 01","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow",35
"C0105-W001NS01","Cow 01","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow",88
"C0106-F001NS01","Cow 01","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow",39
"C0106-P001NS01","Cow 01","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",124
"C0106-S001NS01","Cow 01","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",107
"C0107-F001NS01","Cow 01","Farm 07","Oct","2019-10-01","NASAL SWAB","Autumn","Year 1","Cow",103
"C0107-P001NS01","Cow 01","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow",115
"C0107-S001NS01","Cow 01","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow",90
"C0107-V401NS01","Cow 01","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow",129
"C0108-F001NS01","Cow 01","Farm 08","Sep","2019-09-26","NASAL SWAB","Autumn","Year 1","Cow",13
"C0108-P001NS01","Cow 01","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",80
"C0108-S001NS01","Cow 01","Farm 08","Jun","2019-06-26","NASAL SWAB","Summer","Year 1","Cow",40
"C0109-F001NS01","Cow 01","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",53
"C0109-P001NS01","Cow 01","Farm 09","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow",70
"C0109-S001NS01","Cow 01","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",68
"C0110-F001NS01","Cow 01","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",113
"C0110-P001NS01","Cow 01","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow",113
"C0110-S001NS01","Cow 01","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",120
"C0110-V401NS01","Cow 01","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow",68
"C0111-F001NS01","Cow 01","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow",127
"C0111-P001NS01","Cow 01","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow",54
"C0111-S001NS01","Cow 01","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow",54
"C0111-V401NS01","Cow 01","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Cow",98
"C0112-P001NS01","Cow 01","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow",16
"C0112-S001NS01","Cow 01","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow",38
"C0112-V301NS01","Cow 01","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow",144
"C0112-V401NS01","Cow 01","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow",105
"C0114-P001NS01","Cow 01","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow",116
"C0114-S001NS01","Cow 01","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow",74
"C0114-V301NS01","Cow 01","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow",102
"C0114-V401NS01","Cow 01","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",103
"C0115-P001NS01","Cow 01","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow",77
"C0115-S001NS01","Cow 01","Farm 15","Aug","2019-08-22","NASAL SWAB","Summer","Year 1","Cow",43
"C0115-V301NS01","Cow 01","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow",138
"C0115-V401NS01","Cow 01","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",153
"C0116-F001NS01","Cow 01","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow",68
"C0116-P001NS01","Cow 01","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow",79
"C0116-V301NS01","Cow 01","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow",69
"C0117-F001NS01","Cow 01","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow",76
"C0117-S001NS01","Cow 01","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",41
"C0117-V301NS01","Cow 01","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",73
"C0119-S001NS01","Cow 01","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Cow",36
"C0120-S001NS01","Cow 01","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow",90
"C0120-V201NS01","Cow 01","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Cow",150
"C0120-V301NS01","Cow 01","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow",92
"C0121-F001NS01","Cow 01","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow",110
"C0121-S001NS01","Cow 01","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow",70
"C0121-V301NS01","Cow 01","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Cow",91
"C0122-S001NS01","Cow 01","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow",56
"C0122-V201NS01","Cow 01","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow",197
"C0122-V301NS01","Cow 01","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow",107
"C0123-S001NS01","Cow 01","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow",78
"C0123-V201NS01","Cow 01","Farm 23","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow",75
"C0123-V301NS01","Cow 01","Farm 23","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Cow",121
"C0124-S001NS01","Cow 01","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Cow",71
"C0124-V201NS01","Cow 01","Farm 24","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow",118
"C0124-V301NS01","Cow 01","Farm 24","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Cow",120
