"","x"
"C0101-P001NS01",42
"C0102-P001NS01",103
"C0102-S001NS01",70
"C0102-W001NS01",54
"C0103-P001NS01",61
"C0103-S001NS01",91
"C0103-V102NS01",142
"C0103-V401NS01",157
"C0103-W001NS01",170
"C0104-V102NS01",54
"C0104-V401NS01",94
"C0104-W001NS01",55
"C0105-P001NS01",35
"C0105-W001NS01",88
"C0106-F001NS01",39
"C0106-P001NS01",124
"C0106-S001NS01",107
"C0107-F001NS01",103
"C0107-P001NS01",115
"C0107-S001NS01",90
"C0107-V401NS01",129
"C0108-F001NS01",13
"C0108-P001NS01",80
"C0108-S001NS01",40
"C0109-F001NS01",53
"C0109-P001NS01",70
"C0109-S001NS01",68
"C0110-F001NS01",113
"C0110-P001NS01",113
"C0110-S001NS01",120
"C0110-V401NS01",68
"C0111-F001NS01",127
"C0111-P001NS01",54
"C0111-S001NS01",54
"C0111-V401NS01",98
"C0112-P001NS01",16
"C0112-S001NS01",38
"C0112-V301NS01",144
"C0112-V401NS01",105
"C0114-P001NS01",116
"C0114-S001NS01",74
"C0114-V301NS01",102
"C0114-V401NS01",103
"C0115-P001NS01",77
"C0115-S001NS01",43
"C0115-V301NS01",138
"C0115-V401NS01",153
"C0116-F001NS01",68
"C0116-P001NS01",79
"C0116-V301NS01",69
"C0117-F001NS01",76
"C0117-S001NS01",41
"C0117-V301NS01",73
"C0119-S001NS01",36
"C0120-S001NS01",90
"C0120-V201NS01",150
"C0120-V301NS01",92
"C0121-F001NS01",110
"C0121-S001NS01",70
"C0121-V301NS01",91
"C0122-S001NS01",56
"C0122-V201NS01",197
"C0122-V301NS01",107
"C0123-S001NS01",78
"C0123-V201NS01",75
"C0123-V301NS01",121
"C0124-S001NS01",71
"C0124-V201NS01",118
"C0124-V301NS01",120
"C0125-S001NS01",118
"C0125-V201NS01",112
"C0125-V301NS01",45
"C0126-S001NS01",130
"C0126-V201NS01",134
"C0126-V301NS01",41
"C0127-S001NS01",64
"C0127-V201NS01",160
"C0127-V301NS01",94
"C0128-S001NS01",113
"C0128-V201NS01",165
"C0129-S001NS01",28
"C0129-V201NS01",112
"C0133-V101NS01",146
"C0133-V201NS01",134
"C0134-V101NS01",144
"C0134-V201NS01",94
"C0135-V101NS01",107
"C0136-V101NS01",78
"C0136-V201NS01",141
"C0137-V101NS01",184
"C0138-V101NS01",81
"C0139-V101NS01",65
"C0141-V101NS01",52
"C0142-V101NS01",97
"C0143-V101NS01",96
"C0201-P001NS01",74
"C0202-P001NS01",99
"C0202-S001NS01",92
"C0202-W001NS01",119
"C0203-P001NS01",89
"C0203-S001NS01",97
"C0203-V102NS01",97
"C0203-V401NS01",98
"C0203-W001NS01",154
"C0204-P001NS01",78
"C0204-S001NS01",183
"C0204-V102NS01",112
"C0204-V401NS01",118
"C0204-W001NS01",167
"C0205-P001NS01",41
"C0205-S001NS01",88
"C0205-W001NS01",69
"C0206-F001NS01",102
"C0206-P001NS01",104
"C0206-S001NS01",66
"C0207-F001NS01",89
"C0207-P001NS01",67
"C0207-S001NS01",41
"C0207-V401NS01",135
"C0208-P001NS01",51
"C0209-F001NS01",59
"C0209-S001NS01",114
"C0210-F001NS01",50
"C0210-P001NS01",69
"C0210-S001NS01",108
"C0210-V401NS01",101
"C0211-F001NS01",81
"C0211-P001NS01",50
"C0211-S001NS01",96
"C0212-P001NS01",81
"C0212-S001NS01",167
"C0212-V301NS01",118
"C0212-V401NS01",140
"C0214-P001NS01",59
"C0214-S001NS01",143
"C0214-V301NS01",140
"C0214-V401NS01",94
"C0215-P001NS01",125
"C0215-S001NS01",144
"C0215-V301NS01",118
"C0215-V401NS01",128
"C0216-F001NS01",90
"C0216-P001NS01",103
"C0216-V301NS01",77
"C0217-F001NS01",78
"C0217-S001NS01",55
"C0217-V301NS01",79
"C0219-S001NS01",42
"C0220-S001NS01",31
"C0220-V201NS01",179
"C0220-V301NS01",60
"C0221-F001NS01",97
"C0221-S001NS01",46
"C0221-V301NS01",115
"C0222-S001NS01",105
"C0222-V201NS01",132
"C0222-V301NS01",125
"C0223-S001NS01",55
"C0223-V201NS01",134
"C0223-V301NS01",120
"C0224-S001NS01",70
"C0224-V201NS01",59
"C0224-V301NS01",49
"C0225-S001NS01",97
"C0225-V201NS01",98
"C0225-V301NS01",34
"C0226-V201NS01",130
"C0226-V301NS01",78
"C0227-S001NS01",75
"C0227-V201NS01",111
"C0227-V301NS01",102
"C0228-S001NS01",37
"C0228-V201NS01",191
"C0229-S001NS01",19
"C0229-V201NS01",145
"C0233-V101NS01",40
"C0233-V201NS01",115
"C0234-V101NS01",119
"C0234-V201NS01",55
"C0235-V101NS01",89
"C0236-V101NS01",123
"C0236-V201NS01",85
"C0237-V101NS01",180
"C0238-V101NS01",160
"C0239-V101NS01",60
"C0241-V101NS01",48
"C0242-V101NS01",107
"C0243-V101NS01",102
"C0301-P001NS01",32
"C0302-P001NS01",112
"C0302-S001NS01",74
"C0302-V401NS01",96
"C0302-W001NS01",74
"C0303-P001NS01",58
"C0303-S001NS01",105
"C0303-V102NS01",96
"C0303-V401NS01",91
"C0303-W001NS01",155
"C0304-P001NS01",72
"C0304-S001NS01",91
"C0304-V401NS01",75
"C0304-W001NS01",129
"C0305-V102NS01",132
"C0305-V401NS01",115
"C0305-W001NS01",131
"C0306-P001NS01",107
"C0306-S001NS01",71
"C0306-V401NS01",178
"C0307-P001NS01",91
"C0307-S001NS01",60
"C0307-V401NS01",63
"C0308-F001NS01",13
"C0308-P001NS01",88
"C0309-F001NS01",79
"C0309-P001NS01",71
"C0309-S001NS01",82
"C0310-F001NS01",109
"C0310-P001NS01",61
"C0310-S001NS01",60
"C0310-V401NS01",183
"C0311-F001NS01",129
"C0311-P001NS01",32
"C0311-S001NS01",66
"C0311-V401NS01",49
"C0312-P001NS01",47
"C0312-S001NS01",28
"C0312-V301NS01",78
"C0312-V401NS01",71
"C0314-P001NS01",70
"C0314-S001NS01",139
"C0314-V301NS01",116
