feature	Corynebacterium	Psychrobacter	Staphylococcus	Moraxella	Weissella	Dolosigranulum	Acetobacter	Streptococcus	Faucicola	Mannheimia	Aerococcus	Peptoniphilus	Romboutsia	Pseudomonas	Lentilactobacillus	Carnobacterium	Lactobacillus	Finegoldia	Turicibacter	UCG.005	Jeotgalicoccus	Acinetobacter	Anaerococcus	Paeniclostridium	Kocuria	Sphingobacterium	Facklamia	Rothia	Latilactobacillus	Clostridium.sensu.stricto.1	Lactiplantibacillus	Pediococcus	Sphingomonas	Lactococcus	Glutamicibacter	Clostridioides	Haemophilus	Salinicoccus	Bifidobacterium	Knoellia	Lachnospiraceae.NK3A20.group	HT002	Bacteroides	Brevibacterium	Brachybacterium	Fusobacterium	Planococcus	Mycoplasma	Thermoactinomyces	Jeotgalibaca	Lawsonella	Levilactobacillus	Atopostipes	Porphyromonas	Filobacterium	Enterococcus	Oceanobacillus	Curtobacterium	Enhydrobacter	Ornithinimicrobium	Aerosphaera	Dietzia	Leuconostoc	Saccharopolyspora	Ignavigranum	Companilactobacillus	Loigolactobacillus	Neorhizobium	Caryophanon	Ruminobacter	Actinomyces	Bacillus	Macrococcus	Pseudarthrobacter	Gemella	Chryseobacterium	Treponema	Alistipes	Massilia	Blautia	Mogibacterium	Campylobacter	Kurthia	UCG.001	Flavobacterium	Christensenellaceae.R.7.group	Frondihabitans	Comamonas	Pseudoclavibacter	Paracoccus	Prevotellaceae.UCG.004	Phascolarctobacterium	Ligilactobacillus	Actinobacillus	Methylobacterium.Methylorubrum	Acetitomaculum	Pedobacter	NK4A214.group	Lysinibacillus	Lachnospiraceae.AC2044.group	Paeniglutamicibacter	Ornithinicoccus	Stenotrophomonas	Alloprevotella	X.Ruminococcus..torques.group	Cellulosilyticum	Rhodococcus	Methanobrevibacter	Prevotella	Nesterenkonia	Dorea	Rikenellaceae.RC9.gut.group	Colidextribacter	Succinivibrio	Mailhella	Nocardiopsis	Prevotellaceae.UCG.003	Agathobacter	Prevotella_7	Citricoccus	Paenibacillus	Aliicoccus	Arcobacter	Bergeyella	Monoglobus	Lachnospiraceae.UCG.010	Lachnospiraceae.UCG.004	Roseburia	Thermomonas	Veillonella	Lachnospiraceae.UCG.001	Flaviflexus	Cutibacterium	Aureimonas	Parasutterella	Coprococcus	X.Ruminococcus..gauvreauii.group	Leucobacter	Sanguibacter.Flavimobilis	Prevotellaceae.UCG.001	Methanosphaera	Marvinbryantia	Brevundimonas	Family.XIII.AD3011.group	Nocardioides	X.Eubacterium..brachy.group	Frisingicoccus	Akkermansia	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Erysipelothrix	W5053	Anaerosporobacter	Hymenobacter	UCG.009	Halomonas	Cellvibrio	X.Eubacterium..nodatum.group	Marinospirillum	Ruminococcus	Luteimonas	dgA.11.gut.group	Devosia	Acholeplasma	X.Eubacterium..hallii.group
C0101-P001NS01	0.00198609731876862	0.649002437483073	0.00505552044777467	0.0914507538142096	0.00144443441364991	0	0.00713189491739641	0.00243748307303422	0	0.203574975173784	0	0	0.00306942312900605	0	0.00135415726279679	0	0.0018958201679155	0	0.00207637446962174	0.00866660648189943	0	0	0	0.00144443441364991	0.00108332581023743	0	0.00126388011194367	0.000631940055971834	0	0	0.00361108603412476	0	0	0	0	0	0	0	0.000812494357678072	0	0	0	0.00207637446962174	0	0	0	0	0	0	0	0	0	0.00207637446962174	0	0.00207637446962174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126388011194367	0	0	0	0	0	0.000631940055971834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000902771508531191	0	0	0	0	0	0	0	0.00135415726279679	0	0	0	0	0.00099304865938431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000631940055971834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C0102-P001NS01	0.0437933850551245	0.00112290730910576	0.0667619436504696	0	0.00898325847284606	0	0	0.00438954675377705	0	0	0.0291955900367497	0	0.078603511637403	0	0	0	0	0	0.0433850551245406	0.220600244997958	0.0152102899142507	0.00704369130257248	0	0.0179665169456921	0.0180685994283381	0	0.0041853817884851	0.00387913434054716	0	0.0198040016333197	0	0	0.00193956717027358	0	0.00102082482645978	0.0202123315639036	0	0	0.0282768476929359	0.0060228664761127	0.0120457329522254	0	0.0526745610453246	0	0	0	0.00734993875051041	0	0	0.00173540220498163	0	0	0.00918742343813802	0	0	0	0	0	0	0	0	0	0	0	0.00112290730910576	0	0	0	0	0.00734993875051041	0	0	0	0	0	0	0.0101061657819518	0.0113311555737036	0.00153123723968967	0.00173540220498163	0.000714577378521846	0	0	0.00653327888934259	0.000816659861167824	0.0151082074316047	0	0	0	0.00714577378521846	0.00296039199673336	0.00285830951408738	0	0	0	0.0175581870151082	0	0.0051041241322989	0	0.00479787668436096	0	0	0	0.00643119640669661	0.0104124132298898	0.00142915475704369	0	0.0109228256431196	0.00479787668436096	0	0.00387913434054716	0.0253164556962025	0.00408329930583912	0.00908534095549204	0.00163331972233565	0	0.0142915475704369	0.0126582278481013	0	0	0	0	0	0	0.00520620661494488	0.00316455696202532	0.00367496937525521	0.0018374846876276	0.0018374846876276	0	0.00632911392405063	0	0	0	0.00255206206614945	0.00714577378521846	0.00449162923642303	0	0.00153123723968967	0.00255206206614945	0.00122498979175174	0.00612494895875868	0	0.00336872192731727	0	0.00296039199673336	0	0.00163331972233565	0	0	0	0.00357288689260923	0	0.00234789710085749	0	0.000918742343813801	0.00214373213556554	0.00224581461821151	0.00796243364638628	0	0	0	0	0
C0102-S001NS01	0.0387107776261937	0	0.0290757162346521	0	0.246333560709413	0	0.00724761255115962	0.000767394270122783	0	0	0.0239597544338336	0.0123635743519782	0.000682128240109141	0.00264324693042292	0.207793315143247	0	0.0365791268758527	0	0.00306957708049113	0.0371759890859482	0.00690654843110505	0.030781036834925	0	0	0	0.0150920873124147	0	0	0	0	0.0438267394270123	0.100272851296044	0	0	0	0	0	0.00937926330150068	0.000682128240109141	0	0.001193724420191	0	0.0148362892223738	0	0	0.00110845839017735	0	0	0	0.00426330150068213	0	0.00272851296043656	0.000852660300136426	0.0052012278308322	0.000852660300136426	0.00588335607094134	0	0.00170532060027285	0	0.00238744884038199	0	0.00775920873124147	0.00238744884038199	0	0	0	0.00409276944065484	0.00750341064120055	0	0	0	0.00383697135061392	0	0	0	0	0.00255798090040928	0.00110845839017735	0	0	0	0	0	0	0	0.000767394270122783	0.00221691678035471	0	0	0	0	0.00648021828103683	0	0	0.0111698499317872	0	0	0.000596862210095498	0	0	0	0	0	0	0	0	0	0.00972032742155525	0	0	0	0.00699181446111869	0	0.001193724420191	0	0	0.00162005457025921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000767394270122783	0	0.00213165075034106	0.00247271487039563	0	0	0	0	0	0	0.00136425648021828	0	0	0	0	0	0	0	0	0	0.00349590723055934	0	0.0109993178717599	0	0	0	0.000852660300136426	0	0.0135572987721692	0	0
C0102-W001NS01	0.0020023778236656	0.00663287654089231	0.00206495213065515	0	0.028095863838308	0	0	0.020586946999562	0.794505975846318	0	0	0	0.00319128965646705	0.00181465490269695	0.0450535010324761	0	0	0	0.0011263375258119	0.0021275264376447	0	0.0020023778236656	0	0.000688317376885051	0	0	0	0	0.0104499092672549	0	0.0113259495651086	0.0150804079844816	0.00244039797259245	0.000688317376885051	0.0010011889118328	0	0	0	0	0	0	0	0.000938614604843251	0.000563168762905951	0	0	0	0	0	0	0	0.0116388211000563	0	0	0.00181465490269695	0.00156435767473875	0	0.00118891183280145	0	0	0	0	0.0110756523371504	0	0	0	0.00131406044678055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00438020148926851	0	0.00406732995432076	0	0	0	0	0	0	0	0.000625743069895501	0	0	0	0	0	0	0.00219010074463425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000688317376885051	0	0	0	0	0.000625743069895501	0	0	0	0	0	0	0	0	0.0010011889118328	0	0	0	0	0	0.00488079594518491	0	0	0	0	0	0	0	0	0	0	0	0	0.000563168762905951	0	0
C0103-P001NS01	0.0790399337885371	0.00413821642871922	0.0886612869853093	0	0.625181046968756	0	0.00300020691082144	0.000724187875025864	0.0133457479826195	0.000620732464307883	0.00506931512518105	0	0.00103455410717981	0	0.0262776743223671	0	0	0	0.00268984067866749	0	0.0112766397682599	0.0128284709290296	0	0	0.0187254293399545	0	0.010448996482516	0.00237947444651355	0	0	0.00413821642871922	0	0.0032071177322574	0	0	0	0	0.00362093937512932	0	0	0.000517277053589903	0	0.00196565280364163	0	0.00351748396441134	0.000827643285743844	0	0	0	0	0	0	0.00144837575005173	0.000517277053589903	0	0.00444858266087316	0.00124146492861577	0	0	0	0.00475894889302711	0.00165528657148769	0.00900062073246431	0	0.000827643285743844	0	0	0.00144837575005173	0	0	0	0.0257603972687772	0	0	0	0.00103455410717981	0	0	0	0	0	0	0.00672460169666874	0	0	0	0	0	0	0	0	0	0	0	0.00124146492861577	0	0	0	0.00889716532174633	0	0	0	0.000931098696461825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268984067866749	0.00206910821435961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000620732464307883	0	0	0	0	0	0	0	0.000724187875025864	0	0	0	0.000724187875025864	0	0	0	0	0	0	0	0	0
C0103-S001NS01	0.0620148835720573	0.00680163239177403	0.0528126750420101	0	0.0469712731055453	0	0.00368088341201888	0.000880211250700168	0.0156037448987757	0	0.00528126750420101	0	0.00304072977514603	0.000880211250700168	0.0198447627430583	0	0	0	0.00192046091061855	0.000560134432263743	0.00792190125630151	0.507001680403297	0.00136032647835481	0.00104024965991838	0.00808193966551972	0.00496119068576458	0.00560134432263743	0.00192046091061855	0	0.00136032647835481	0.00624149795951028	0.00784188205169241	0.00112026886452749	0.00104024965991838	0	0	0	0.00328078738897335	0	0.00544130591341922	0	0	0.00824197807473794	0.0012803072737457	0	0.0168840521725214	0	0	0.000960230455309274	0	0	0	0.0026406337521005	0.016563975354085	0	0.00352084500280067	0.00152036488757302	0	0.000640153636872849	0	0.00152036488757302	0.00192046091061855	0	0	0.000640153636872849	0.0025606145474914	0.000960230455309274	0.00144034568296391	0	0	0	0.00496119068576458	0.00616147875490118	0	0	0.109706329519085	0	0	0	0	0	0	0.00312074897975514	0	0	0	0	0	0.000960230455309274	0.010562535008402	0	0	0.00200048011522765	0	0.00368088341201888	0	0	0	0	0	0	0	0.000720172841481956	0.00112026886452749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144034568296391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000960230455309274	0	0	0	0	0.00672161318716492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208049931983676	0	0
C0103-V102NS01	0.19513310302784	0.124415769152611	0.0644178012599065	0.000762040235724446	0.00284495021337127	0.0111765901239585	0	0.00243852875431823	0.00269254216622638	0	0.0120402357244463	0.00391180654338549	0.0080268238162975	0.00629953261532209	0.001371672424304	0	0	0.00167648851859378	0.00259093680146312	0.00452143873196505	0.0726986384881122	0.0142247510668563	0.000965250965250965	0.000711237553342816	0.00543588701483438	0.00304816094289778	0.017425320056899	0.00106685633001422	0.00218451534241008	0.00411501727291201	0	0	0.0120910384068279	0.0037593984962406	0.00350538508433245	0	0	0.00335297703718756	0.00492786019101809	0	0	0	0.0565941881731355	0.000863645600487706	0.0028957528957529	0.111207071733388	0.00116846169477748	0	0	0.00447063604958342	0.0104145498882341	0	0.00553749237959764	0.0883458646616541	0	0.00193050193050193	0	0.00269254216622638	0	0	0.00314976630766104	0.00121926437715911	0.00111765901239585	0	0.000914448282869335	0	0	0.00574070310912416	0	0	0	0.00467384677910994	0	0.000711237553342816	0	0.0101097337939443	0	0	0	0.0317516764885186	0.00132086974192237	0.000609632188579557	0	0	0.00314976630766104	0.00101605364763259	0.00101605364763259	0.000609632188579557	0.000812842918106076	0	0.000609632188579557	0	0	0	0.00497866287339972	0	0.0110749847591953	0	0	0	0.000914448282869335	0	0	0	0.0032513716724243	0	0	0	0	0	0	0.000965250965250965	0	0	0	0	0.00198130461288356	0	0	0	0	0.00162568583621215	0	0	0	0	0	0	0.0023877260719366	0	0	0	0	0.00132086974192237	0	0.00254013411908149	0.00604551920341394	0.00177809388335704	0.00228612070717334	0	0	0	0.000863645600487706	0	0	0	0	0	0.00320056899004267	0	0.00106685633001422	0	0	0	0	0.00121926437715911	0	0.000762040235724446	0	0	0	0.00213371266002845	0	0.00111765901239585
C0103-V401NS01	0.204288903562557	0.262711064993868	0.0756532402603528	0.0349966984246769	0.00396189038769927	0	0	0.00433921328176587	0.00125774298022199	0.000723202213627645	0.0319781152721441	0	0.00424488255824922	0.0188975882778354	0	0	0	0	0.00132063012923309	0.00830110366946515	0.0302801622488445	0.0824764959280571	0	0.00226393736439958	0.0107851460554036	0.00411910826022702	0.0438008992862309	0.00160362229978304	0.00163506587428859	0.00864698298902619	0.00113196868219979	0	0.00408766468572147	0.0082067729459485	0.0208470898971795	0.00110052510769424	0	0.00402477753671037	0.000880420086155394	0.000565984341099896	0.00169795302329969	0	0.00389900323868817	0.0070748042637487	0.00949595950067604	0.000880420086155394	0.00188661447033299	0	0	0.00474797975033802	0	0	0.00823821652045404	0.000534540766594346	0	0.00342734962110493	0	0.00204383234286074	0	0	0.0068232556677043	0.00367889821714933	0.00154073515077194	0	0.000628871490110996	0	0.00144640442725529	0.00204383234286074	0	0.000817532937144295	0	0.000974750809672044	0	0	0	0.00119485583121089	0.000597427915605446	0	0	0	0	0	0	0	0.00977895167122599	0.00106908153318869	0	0.00531396409143792	0.000691758639122095	0.000565984341099896	0.000565984341099896	0	0	0.000660315064616546	0.00188661447033299	0	0.000597427915605446	0	0.000534540766594346	0	0	0	0	0	0.000565984341099896	0.000723202213627645	0	0.000943307235166494	0	0.000691758639122095	0	0.00179228374681634	0	0	0	0	0.000786089362638745	0	0	0	0	0.00597427915605446	0.0166336509134358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323868817407163	0.000911863660660944	0	0	0	0.000597427915605446	0	0	0	0	0	0	0	0.000880420086155394	0	0	0	0.00110052510769424	0	0	0.000691758639122095	0	0	0	0	0	0
C0103-W001NS01	0.125632	0.086784	0.059648	0.000832	0.015104	0	0	0.01824	0.028352	0.014976	0.026048	0	0.019328	0.002688	0.027008	0.002112	0.013568	0	0.010624	0.018752	0.06016	0.072768	0.001344	0.009408	0.018368	0	0.035904	0.016384	0.002432	0.01952	0.003904	0.004608	0.00128	0.012672	0.003584	0.006144	0	0.011136	0.009216	0.001664	0.0048	0	0.025472	0.00256	0.004224	0.013312	0.001984	0.004608	0	0.005312	0	0.00352	0.013504	0.032192	0.000768	0.010496	0.001152	0.000768	0	0	0.006208	0.000768	0.007104	0	0.002944	0.003456	0.01056	0.002112	0	0.004032	0	0.0016	0	0	0	0.00384	0	0.002688	0.000896	0.000896	0.001472	0	0	0	0.004224	0.007872	0	0	0	0	0	0.001024	0.003328	0.001856	0	0	0	0	0	0	0	0	0	0.000704	0	0.00128	0	0.00224	0.008	0	0.000704	0.007296	0	0.001408	0	0.000704	0.001216	0	0	0	0.000704	0.003584	0.002688	0.00064	0.001344	0.000768	0.000832	0	0	0	0	0.000832	0	0	0	0.00096	0	0.003712	0.001216	0	0.000704	0	0	0	0	0	0	0	0	0	0.000704	0.00128	0	0	0.00288	0	0	0	0.001152	0	0	0.000704	0	0
C0104-V102NS01	0.0712435233160622	0.757724045288812	0.0271540971022836	0	0.0044137401650355	0.00522932258683554	0	0.0681730953751679	0	0	0.00143926309729419	0.00115141047783535	0.00474956822107081	0	0	0	0	0	0.000815582421800038	0.00115141047783535	0.00110343504125888	0.00244674726540012	0	0	0.0023028209556707	0	0.00100748416810593	0.00100748416810593	0.00657263481097678	0	0	0	0.00100748416810593	0	0.00263864901170601	0	0	0	0.00263864901170601	0	0	0	0	0.00115141047783535	0	0	0	0	0.00115141047783535	0.00254269813855306	0.00508539627710612	0	0	0	0	0	0	0	0	0	0	0.00067165611207062	0	0.00119938591441182	0	0	0	0.000767606985223565	0	0	0	0	0	0	0	0.00278257532143542	0	0	0	0.0152082133947419	0	0	0.000767606985223565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148723853387066	0	0	0	0	0	0	0.000815582421800038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067165611207062	0.00172711571675302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
