user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
DOME2_0001	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.48	0.948	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0002	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus vitulinus	GCF_029024305.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus vitulinus	98.84	0.918	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002901825.1, s__Mammaliicoccus sciuri, 95.0, 84.64, 0.46; GCF_003970575.1, s__Mammaliicoccus fleurettii, 95.0, 87.92, 0.615; GCF_025561425.1, s__Mammaliicoccus sciuri_A, 95.0, 84.41, 0.426	N/A	N/A	N/A	N/A
DOME2_0003	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis	GCF_001042485.2	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis	98.92	0.93	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.42, 0.452; GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.74, 0.89; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.0, 0.422; GCF_000011645.1, s__Bacillus licheniformis, 95.0, 94.31, 0.897	N/A	N/A	N/A	N/A
DOME2_0004	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	100.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.1, 0.47; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.37, 0.47; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.01, 0.907; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.31, 0.913	N/A	N/A	N/A	N/A
DOME2_0005	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.45	0.957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0006	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	GCF_006094395.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	99.21	0.94	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_020544305.1, s__Staphylococcus taiwanensis, 95.0, 84.21, 0.416; GCF_001224225.1, s__Staphylococcus borealis, 95.0, 89.19, 0.727	N/A	N/A	N/A	N/A
DOME2_0007	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus jordanicus	GCF_022095695.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus jordanicus	95.84	0.857	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000724085.1, s__Virgibacillus manasiensis, 95.0, 85.08, 0.39	N/A	N/A	N/A	N/A
DOME2_0008	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	GCF_000691165.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	95.76	0.897	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_025809375.1, s__Bacillus zhangzhouensis_A, 95.0, 93.98, 0.872; GCF_014764715.1, s__Bacillus sp014764715, 95.0, 91.02, 0.823; GCF_003431975.1, s__Bacillus pumilus_N, 95.0, 90.88, 0.837; GCF_024498355.1, s__Bacillus pumilus_P, 95.0, 90.74, 0.817; GCF_000691145.1, s__Bacillus altitudinis, 95.0, 89.85, 0.804; GCF_900186955.1, s__Bacillus pumilus, 95.0, 91.54, 0.863; GCA_030159235.1, s__Bacillus safensis_B, 95.0, 92.85, 0.888; GCF_020524495.1, s__Bacillus stratosphericus_B, 95.0, 89.6, 0.677; GCF_002998085.1, s__Bacillus sp002998085, 95.0, 91.61, 0.86; GCA_001938995.1, s__Bacillus pumilus_G, 95.0, 86.81, 0.616; GCF_002744245.1, s__Bacillus pumilus_M, 95.0, 89.92, 0.767; GCF_001307105.1, s__Bacillus australimaris, 95.0, 93.73, 0.91; GCF_000715205.1, s__Bacillus zhangzhouensis, 95.0, 90.95, 0.833; GCF_000300535.1, s__Bacillus xiamenensis, 95.0, 89.93, 0.771; GCF_009937765.1, s__Bacillus pumilus_O, 95.0, 90.94, 0.843	N/A	N/A	N/A	N/A
DOME2_0009	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	GCF_029024965.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	99.53	0.932	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001431205.1, s__Staphylococcus sp001431205, 95.0, 92.52, 0.815; GCF_029531845.1, s__Staphylococcus equorum_C, 95.0, 92.69, 0.844; GCF_001747895.1, s__Staphylococcus equorum_A, 95.0, 94.49, 0.857	N/A	N/A	N/A	N/A
DOME2_0010	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	GCF_023520795.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	97.14	0.941	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_030515985.1, s__Corynebacterium sp022346005, 95.0, 94.2, 0.879; GCF_000478175.1, s__Corynebacterium sp000478175, 95.0, 93.83, 0.859; GCF_030227225.1, s__Corynebacterium sp943914355, 95.0, 93.74, 0.869; GCF_003688935.1, s__Corynebacterium macginleyi, 95.0, 88.59, 0.71	N/A	N/A	N/A	N/A
